Q1_1,Gli insegnanti nella mia scuola sono rispettosi nei miei confronti.
Q1_2,Se tornassi a visitare la mia scuola fra tre anni, i miei insegnanti sarebbero entusiasti di vedermi.
Q1_3,Quando i miei insegnanti mi chiedono come sto, sono veramente interessati alla mia risposta.
Q1_4,Gli insegnanti nella mia scuola sono interessati al benessere degli studenti.
Q1_5,Se arrivassi turbato/a in classe, i miei insegnanti sarebbero preoccupati per me.
Q1_6,Mi sento intimidito/a dagli insegnanti della mia scuola.
Q1_7,Gli insegnanti nella mia scuola sono amichevoli nei miei confronti.
Q1_8,Gli insegnanti nella mia scuola sono cattivi nei miei confronti.
Q2_1,Mi incuriosiscono molte cose diverse.
Q2_2,Mi infastidisco quando devo imparare i dettagli di un argomento.
Q2_3,Amo imparare cose nuove a scuola.
Q2_4,Mi piace formulare ipotesi e verificarle sulla base di ciò che osservo.
Q2_5,Passo del tempo a trovare più informazioni sulle cose che mi interessano.
Q2_6,Mi piace fare domande.
Q2_7,Mi piace sapere come funzionano le cose.
Q2_8,Sono più curioso/a della maggior parte delle persone che conosco.
Q2_9,Trovo che imparare cose nuove sia noioso.
Q2_10,Mi piace imparare cose nuove.
